Feature,Coefficient,Absolute_Importance,Direction,Importance_Percentage
VIX,0.7643979955499168,0.7643979955499168,Increases Risk Score,0.22605935338569408
Average_Range_20D,0.4811368512006343,0.4811368512006343,Increases Risk Score,0.14228907729434473
Maximum_Absolute_Return_20D,-0.2908099473902887,0.2908099473902887,Decreases Risk Score,0.08600272246643194
Mean_Absolute_Return_20D,0.23934069146854559,0.23934069146854559,Increases Risk Score,0.07078145451354881
Volatility_20D,0.23812006313781175,0.23812006313781175,Increases Risk Score,0.07042047181503788
SPY_Volatility_20D,-0.19713689741954096,0.19713689741954096,Decreases Risk Score,0.05830030928726208
Volume_Ratio_20D,0.11981507908526089,0.11981507908526089,Increases Risk Score,0.03543352999556779
Average_Range_5D,0.10287211526206497,0.10287211526206497,Increases Risk Score,0.030422900103016272
Price_to_SMA10,-0.10267973324187869,0.10267973324187869,Decreases Risk Score,0.030366005978045348
Mean_Absolute_Return_5D,-0.09208954276554088,0.09208954276554088,Decreases Risk Score,0.027234114443465924
TLT_Return_5D,-0.08494875803669312,0.08494875803669312,Decreases Risk Score,0.025122333423804225
Daily_Price_Range,0.07455966433408658,0.07455966433408658,Increases Risk Score,0.02204991327311421
Return_5D,0.07432816857610629,0.07432816857610629,Increases Risk Score,0.021981451841157018
Price_to_SMA50,-0.0732885528875693,0.0732885528875693,Decreases Risk Score,0.021674000942948916
VIX_Change_5D,0.06254236473984386,0.06254236473984386,Increases Risk Score,0.018495975414129763
Range_Acceleration,0.05941730312623357,0.05941730312623357,Increases Risk Score,0.017571784859240925
Yield_Change_5D,-0.05578495465524308,0.05578495465524308,Decreases Risk Score,0.016497571751142835
Treasury_Yield,0.04912507074415257,0.04912507074415257,Increases Risk Score,0.014528010005390465
Volatility_10D,0.048781282162467014,0.048781282162467014,Increases Risk Score,0.01442633963873636
Return_20D,-0.04692789722750198,0.04692789722750198,Decreases Risk Score,0.013878228573019126
Volatility_Acceleration,0.028820268148096653,0.028820268148096653,Increases Risk Score,0.008523166230013477
Daily_Return,-0.020928590870511195,0.020928590870511195,Decreases Risk Score,0.006189319892260955
HYG_Return_5D,-0.0177738811420351,0.0177738811420351,Decreases Risk Score,0.005256361347771556
SPY_Return_5D,-0.016258674240903905,0.016258674240903905,Decreases Risk Score,0.004808261412516177
Volatility_5D,0.01420656980198855,0.01420656980198855,Increases Risk Score,0.004201382005137061
Price_to_SMA20,0.009076668067489453,0.009076668067489453,Increases Risk Score,0.0026842897628964963
Maximum_Absolute_Return_5D,0.006459936489131817,0.006459936489131817,Increases Risk Score,0.0019104302655780926
SPY_Return_1D,-0.006254491674264634,0.006254491674264634,Decreases Risk Score,0.001849673013105305
Drawdown_20D,-0.0035219590132775916,0.0035219590132775916,Decreases Risk Score,0.0010415670656222407
